demre_code,weighted_threshold,unique_code,nem_weight,ranking_weight,math_weight,lang_weight,hist_weight,scie_weight,other_weight,tipoies,region,nombreies,nombrecarrera
13046,629.8,I87S1C413J1V1,15,25,35,10,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,CIENCIAS FISICAS
13048,658.8,I87S1C8J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,BIOQUIMICA
13049,674.85,I87S1C145J1V1,15,25,30,15,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,QUIMICA Y FARMACIA
13050,600.1,I87S1C104J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,NUTRICION Y DIETETICA
13052,534.45,I87S1C5J1V1,15,25,10,25,25,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,BACHILLERATO EN HUMANIDADES
13054,554.4,I87S1C259J1V1,15,25,10,30,20,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ARTES VISUALES
13055,688.25,I87S1C10J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ASTRONOMIA
13056,590.5,I87S1C39J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,GEOFISICA
13057,596.85,I87S1C236J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN INGLES
13058,644.95,I87S1C237J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,TRADUCCION/INTERPRETACION EN IDIOMAS EXTRANJEROS
13059,548.3,I87S1C14J1V1,15,25,10,20,30,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,LICENCIATURA EN HISTORIA
13061,560.55,I87S1C241J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA AMBIENTAL
13062,669.1,I87S1C242J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL BIOMEDICA
13063,524.4,I87S1C231J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL DE MATERIALES
13064,505.9,I87S1C12J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL EN TELECOMUNICACIONES
13065,501.0,I87S1C234J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA ESTADISTICA
13066,708.8,I87S1C188J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL AEROESPACIAL
13067,689.15,I87S1C144J1V1,15,25,30,20,10,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PSICOLOGIA
13068,572.5,I87S1C122J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL-PLAN COMUN
13069,647.6,I87S1C45J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL
13070,596.05,I87S1C47J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL ELECTRICA
13071,567.65,I87S1C48J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL ELECTRONICA
13072,682.95,I87S1C50J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL INDUSTRIAL
13073,687.7,I87S1C49J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL INFORMATICA
13074,609.85,I87S1C51J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL MECANICA
13075,540.5,I87S1C52J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL METALURGICA
13076,656.55,I87S1C53J1V2,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL QUIMICA
13077,502.9,I87S1C147J1V1,15,25,20,20,20,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,SOCIOLOGIA
13078,503.3,I87S3C54J1V1,15,25,35,15,10,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA COMERCIAL
13079,506.7,I87S3C109J1V1,15,25,25,20,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN CIENCIAS NATURALES Y BIOLOGIA
13080,626.95,I87S1C3J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ARQUITECTURA
13081,689.65,I87S1C189J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,TECNOLOGIA MEDICA
13082,552.6,I87S1C151J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,FONOAUDIOLOGIA
13083,626.8,I87S1C235J1V1,15,25,25,20,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,KINESIOLOGIA
13085,516.05,I87S3C260J1V1,15,25,30,15,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA EN BIOTECNOLOGIA VEGETAL
13086,770.55,I87S1C102J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,MEDICINA
13087,667.7,I87S1C38J1V1,15,25,25,25,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ENFERMERIA
13088,671.6,I87S1C105J1V1,15,25,25,20,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,OBSTETRICIA Y PUERICULTURA
13089,509.95,I87S3C35J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,EDUCACION DIFERENCIAL
13091,691.55,I87S1C106J1V1,15,25,25,25,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ODONTOLOGIA
13092,500.25,I87S3C110J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,EDUCACION GENERAL BASICA
13093,501.75,I87S3C247J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA GEOMATICA
13094,519.2,I87S3C4J1V1,15,25,30,20,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,AUDITORIA
13101,501.45,I87S1C506J1V1,15,25,20,25,0,15,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN EDUCACION FISICA
13102,628.7,I87S1C518J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL DE MINAS
13103,614.75,I87S2C38J1V1,15,25,25,25,0,10,0,Universidades,REGION DE ÑUBLE,UNIVERSIDAD DE CONCEPCION,ENFERMERIA
13104,604.0,I87S3C38J1V1,15,25,25,25,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,ENFERMERIA
13105,501.35,I87S1C1J1V1,15,25,35,15,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,AGRONOMIA
13106,505.4,I87S3C236J1V1,15,25,25,25,10,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN INGLES
13107,564.75,I87S1C635J1V1,15,25,20,25,15,0,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN ARTES VISUALES
13108,593.45,I87S1C307J1V2,15,25,30,20,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN MATEMATICAS
13111,512.8,I87S3C307J1V1,15,25,30,20,0,10,0,Universidades,REGION DEL BIOBIO,UNIVERSIDAD DE CONCEPCION,PEDAGOGIA EN MATEMATICAS
14001,503.1,I89S1C1J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,AGRONOMIA
14002,617.95,I89S1C2J1V2,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,ARQUITECTURA
14003,517.55,I89S1C367J1V1,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,DISEÑO
14004,538.2,I89S1C200J1V1,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN ARTE
14005,583.2,I89S1C38J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA COMERCIAL
14006,511.2,I89S1C10J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CONTADOR AUDITOR
14007,571.9,I89S1C82J1V1,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PERIODISMO
14008,550.0,I89S1C87J1V1,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,TRABAJO SOCIAL
14009,504.5,I89S1C4J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,BACHILLERATO EN CIENCIAS
14012,519.7,I89S1C7J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,BIOQUIMICA
14013,511.4,I89S1C86J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,QUIMICA INDUSTRIAL
14014,539.5,I89S1C81J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN QUIMICA Y CIENCIAS NATURALES
14015,580.6,I89S1C53J1V1,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,KINESIOLOGIA
14016,502.05,I89S1C22J1V2,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN EDUCACION FISICA
14018,516.5,I89S1C28J1V1,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,GEOGRAFIA
14030,629.8,I89S1C11J1V1,10,10,20,30,30,30,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,DERECHO
14032,501.4,I89S1C21J1V2,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN EDUCACION ESPECIAL
14033,505.0,I89S1C23J1V2,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EDUCACION BASICA
14034,500.6,I89S1C24J1V2,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,EDUCACION PARVULARIA
14037,532.6,I89S1C50J1V1,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN INGLES
14038,594.7,I89S1C51J1V1,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INTERPRETACION O TRADUCCION INGLES-ESPAÑOL
14040,662.4,I89S1C84J1V1,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PSICOLOGIA
14059,561.6,I89S1C420J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA EN BIOPROCESOS
14060,514.2,I89S1C30J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL BIOQUIMICA
14061,500.5,I89S1C31J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL ELECTRICA
14062,505.5,I89S1C32J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL ELECTRONICA
14063,627.3,I89S1C34J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL INDUSTRIAL
14064,599.3,I89S1C33J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL EN INFORMATICA
14065,500.7,I89S1C35J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL MECANICA
14066,511.4,I89S1C36J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL METALURGIA EXTRACTIVA
14067,508.2,I89S1C37J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL QUIMICA
14068,542.0,I89S1C43J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA DE TRANSPORTE
14069,503.0,I89S1C46J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA ELECTRICA
14070,507.3,I89S1C47J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA ELECTRONICA
14071,500.8,I89S1C45J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA EN CONSTRUCCION
14072,524.7,I89S1C48J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA MECANICA
14078,545.5,I89S1C44J1V1,25,25,20,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA DE ALIMENTOS
14080,550.9,I89S1C76J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,OCEANOGRAFIA
14081,507.2,I89S1C108J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL
14082,631.0,I89S1C269J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,TECNOLOGIA MEDICA
14083,530.1,I89S1C288J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL DE MINAS
14084,506.9,I89S1C387J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA ESTADISTICA
14085,561.95,I89S1C397J1V1,10,20,15,25,30,30,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN BIOLOGIA Y CIENCIAS NATURALES
14086,526.2,I89S1C398J1V1,10,20,15,25,30,30,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN BIOLOGIA
14087,534.2,I89S1C399J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN MATEMATICAS
14088,512.0,I89S1C400J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN MATEMATICAS
14089,508.2,I89S1C401J1V2,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN FISICA
14090,602.5,I89S1C402J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN FISICA
14091,503.6,I89S1C403J1V2,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN CASTELLANO Y COMUNICACION
14093,506.2,I89S1C405J1V2,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN FILOSOFIA
14094,524.4,I89S1C406J1V1,20,20,20,30,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN FILOSOFIA
14095,505.1,I89S1C407J1V1,10,10,20,30,30,30,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"PEDAGOGIA EN HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES"
14097,577.45,I89S1C409J1V1,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,PEDAGOGIA EN MUSICA
14098,584.5,I89S1C410J1V1,20,20,25,25,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN CIENCIAS Y ARTES MUSICALES
14099,501.9,I89S1C421J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL EN CONSTRUCCION
14100,526.1,I89S1C422J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL EN CIENCIA DE DATOS
14101,518.0,I89S1C423J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA CIVIL EN TELECOMUNICACIONES
14103,515.1,I89S1C431J1V1,10,10,20,30,30,30,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN HISTORIA
14104,552.6,I89S1C430J1V1,20,20,30,20,10,10,0,Universidades,REGION DE VALPARAISO,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,INGENIERIA EN INFORMATICA
15100,600.4,I88S1C56J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL PLAN COMUN
15101,603.2,I88S1C16J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL MATEMATICA
15102,661.1,I88S1C40J1V2,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,LICENCIATURA EN FISICA
15103,652.1,I88S1C466J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,LICENCIATURA ASTROFISICA
15110,581.5,I88S1C2J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CONSTRUCCION CIVIL
15111,633.6,I88S1C10J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL
15130,602.1,I88S1C11J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL ELECTRICA
15131,602.6,I88S1C12J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL ELECTRONICA
15140,601.2,I88S1C17J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL MECANICA
15141,611.7,I88S1C18J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL METALURGIA
15150,606.3,I88S1C19J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL QUIMICA
15151,627.9,I88S1C99J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL AMBIENTAL
15160,642.8,I88S1C13J1V2,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL INFORMATICA
15161,606.6,I88S1C93J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL TELEMATICA
15170,670.8,I88S1C14J1V2,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL INDUSTRIAL
15171,588.6,I88S1C20J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA COMERCIAL
15180,619.9,I88S1C1J1V2,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,ARQUITECTURA
15181,551.3,I88S1C36J1V1,20,20,40,10,10,10,0,Universidades,REGION DE VALPARAISO,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA EN DISEÑO DE PRODUCTOS
15220,610.7,I88S4C35J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA EN AVIACION COMERCIAL
15222,541.3,I88S4C60J1V2,30,20,30,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,TECNICO UNIVERSITARIO EN MANTENIMIENTO AERONAUTICO
15270,681.4,I88S4C14J1V2,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL INDUSTRIAL
15271,614.3,I88S4C20J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA COMERCIAL
15300,656.9,I88S6C56J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL PLAN COMUN
15301,643.0,I88S6C16J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL MATEMATICA
15302,661.1,I88S6C40J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,LICENCIATURA EN FISICA
15303,677.6,I88S6C466J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,LICENCIATURA ASTROFISICA
15311,673.5,I88S6C10J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL
15312,618.5,I88S6C353J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL DE MINAS
15330,643.8,I88S6C11J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL ELECTRICA
15340,661.2,I88S6C17J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL MECANICA
15350,623.7,I88S6C19J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL QUIMICA
15360,677.9,I88S6C13J1V2,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL INFORMATICA
15361,600.0,I88S6C93J1V1,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,INGENIERIA CIVIL TELEMATICA
15380,632.7,I88S6C1J1V2,20,20,40,10,10,10,0,Universidades,REGION METROPOLITANA,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,ARQUITECTURA
